ID,Title,Bias
57773,79290,A Family Affair at the Democratic National Convention,Left
57777,79306,All Hell Breaks Loose at the Democratic Convention,Right
57778,79307,"The Atlantic Daily: Japan Knife Attack, Democratic Convention, Harassment in Science",Neutral
57808,79340,Donald Trump’s Threats Against Minorities Are Unifying Democrats,Left
57873,79407,A Second Cyber Attack Hits the Democratic Party,Left
57915,79473,The Democrats Clean House,Left
58158,79775,No One Is Doing More For Democratic Turnout Than Donald Trump,Left
58207,79826,How Democrats Become the Conservative Party,Right
58956,80785,Democrats Are Pushing to Use Tax Dollars to Pay for Abortions,Right
58978,80823,Friday Night Lights Democratized TV Drama,Left
59212,81112,Will Democrats Try to Tie the GOP to Trump? Would It Work?,Right
59309,81235,How Democrats Killed Their Populist Soul,Right
59527,81500,How James Comey Hurt the FBI—and the Democratic Process,Left
59562,81535,Does the Democratic Party Have a Future?,Left
59757,81781,The Feedback Loop of Doom for Democratic Norms,Neutral
59769,81794,’An Erosion of Democratic Norms in America’,Right
59820,81859, Democrats Don’t Have an Easy Answer for the Rust Belt,Right
59888,81971,Nancy Pelosi Wins Another Term as Democratic Leader,Left
59902,81985,Will Democrats Miss Their Last Chance to Win a Senate Seat?,Right
59947,82030,Keith Ellison and the Battle for the Democratic Party,Left
60004,82126,Are Democrats Wasting Their Time Taking On the Electoral College?,Right
60059,82184,Democrats Plan Fight to Save Obamacare,Left
60060,82185, More Americans Look to Congressional Democrats Than to Trump for Solutions,Left
60128,82279,Democrats: Trump Must Divest From His Hotel or Breach His Lease,Left
60324,82578,Democrats Have a Religion Problem,Right
60328,82594,Democrat Martin O’Malley fails to qualify for Ohio’s primary ballot,Right
60424,82707,Obama will not endorse candidate in Democratic primary race,Right
60494,82788,AP Fact Check: Democratic debaters and the facts,Neutral
60640,82954,How the Iowa Democratic and Republican caucuses work,Neutral
60749,83077,"Iowa Democrats stonewalling on vote totals, but past numbers were available",Right
60784,83115,Hillary vs Bernie: Democratic debate highlights big divide between two rivals,Right
60785,83116,Does Bernie Sanders really want to win? Three Democratic debate takeaways,Neutral
61005,83368, November preview? Turnout surging in Republican primaries – and sinking for Democrats,Right
61006,83369,"Labor unions gave $420 million to Democrats, left-wing groups from 2012-14, report shows",Neutral
61031,83395,Clinton agrees to Fox News’ town hall on Monday with fellow Democratic presidential candidate Sanders,Left
61052,83420,Transcript of the Fox News Democratic presidential town hall,Neutral
61117,83492,Clinton wins Northern Mariana Islands Democratic caucus,Left
61160,83541,Democratic lawmakers launch blast at inspectors general in Clinton email probe,Right
61179,83561,Sanders concedes Missouri Democratic primary; Clinton wins,Left
61316,83714,"Sanders projected to win Washington, Alaska Democratic presidential caucuses",Left
61420,83832,"Clinton, Sanders agree to Democratic debate in Brooklyn before New York primary",Left
61442,83855,Ethics report: Florida Democrat Grayson likely violated House rules,Right
61470,83887,"Sanders wins Wyoming Democratic caucuses, Cruz taking Colorado delegates",Neutral
61523,83946,"Clinton campaign, Democratic Party sue Arizona over primary voting problems",Right
61727,84170,Sanders scores upset victory in Indiana Democratic primary,Neutral
61860,84321,Nevada Democratic Convention becomes ’unruly and unpredictable’ amid rules disputes over delegates,Right
61886,84351,Oregon Democratic primary structure may work against Sanders,Neutral
61903,84372,"Nevada unrest sparks Democratic concerns about convention, party chaos",Right
61959,84435,Democrats reportedly discuss dropping DNC chair Wasserman Schultz,Neutral
61960,84436,Sanders warns Democratic National Convention could be ’messy’,Left
61980,84459,"Race narrows in California Democratic primary race, poll finds",Left
62087,84596,"Clinton has delegates to win Democratic nomination, AP reports",Left
62091,84601,Sanders campaign reportedly divided over whether to take fight to Democratic convention,Right
62098,84608,"Clinton clinches Democratic nomination, wins NJ primary, Fox News projects",Left
62209,84732,Democrats heckle Ryan on House floor day after Orlando nightclub massacre,Right
62274,84807,State Democratic parties aim to dismantle superdelegate system,Left
62292,84827,Sanders says ’it doesn’t appear’ he will be Democratic nominee,Neutral
62327,84865,Democrats approve platform draft with Sanders’ imprint,Left
62369,84911,Democratic draft platform seeks DOJ probe of fossil fuel companies,Left
62380,84924,"FEC Democrats tried to punish Fox News over debate changes, files show",Right
62605,85178,Who in their right mind would plagiarize a Democrat’s speech?,Left
62623,85197,Sanders to meet with delegates before start of Democratic convention,Neutral
62671,85250,Protesters march on Democratic National Convention,Right
62676,85255,Bernie Sanders got done in by dirty Debbie and the Democrats,Right
62701,85285,Donald Trump hosts Reddit ’Ask Me Anything’ during Democratic Convention,Neutral
62708,85294,Angst in Bernie ranks over push to exit Democratic Party,Right
62711,85297,Convention host state no sure bet for Democrats,Right
62723,85311,"Clinton accepts Democratic nomination, says 2016 ’choice is clear’",Left
62841,85445,What are the chances the Democrats will steal the election?,Left
62969,85582,"Trump says Clinton, Democrats have ’failed and betrayed’ African-Americans after Milwaukee riots",Right
63012,85629,"Facing Trump, Democrats could have their own 1994 landslide, but numbers appear against them",Right
63030,85648,"Latest fed reports show Democratic donors step up efforts on Senate, Clinton bids",Left
63363,86031,Clinton campaign pushes Democratic party stars to shore up youth vote,Left
63834,86558,Clinton campaigns for downballot Democrats in campaign’s final days,Left
63835,86559,Democratic candidate for governor in West Virginia owes millions in taxes,Right
63909,86642,"Lynch, Justice opposed Comey’s Clinton email letter; Democrats in Senate demand answers",Neutral
63942,86681,"Schoen: I’m a Democrat, and I worked for Bill Clinton, but I can’t vote for Hillary",Left
63981,86725,"Philly transit strike could cause Clinton, Democrats headaches",Right
64018,86765,Trump presses into Democrat territory in final stretch,Left
64077,86827,Doug Schoen: What Trump’s incredible victory means for Democrats (it may surprise you),Right
64090,86841,Democrats regroup as they grapple with Trump’s victory,Right
64102,86853,Michael Moore to Democrats: I told you Trump was going to win,Right
64145,86904,Bernie Sanders ’humiliated’ Democrats can’t talk to ’white working class’ voters,Right
64237,87003,"Trump meets with school reformer, Democrat Michelle Rhee with education secretary post still open",Neutral
64308,87082,100 percent of Consumer Financial Protection Bureau’s donations went to Democrats,Right
64342,87120,I’m a Democrat. Here’s how Hillary and the recount campaign leaves me feeling,Left
64401,87183,I’m a Democrat and I’m ashamed at how tone deaf we’ve become,Left
64437,87223,"I’m a Democrat but I’ve gotta admit it’s now Trump 2, Dems 0",Neutral
64487,87276,I’m a Democrat but Clinton staffer Jennifer Palmieri’s twisted logic is exactly why we lost,Right
64679,87495,Democrats hound Trump over closure of foundation,Right
64890,88072,GOP Senator Says He Is Talking To Democrats About Replacing O’Care,Right
64902,88114,No Thanks! These Democrats Plan To Skip Donald Trump’s Inauguration,Right
64962,88287,Senate Democrats Are Playing Hardball On Trump’s Nominees,Left
65034,88451,Avishai: It’s Not Too Early For The Next Democratic Ticket,Left
65043,88479,Democrats To GSA: Trump Is Now In Violation Of His DC Hotel Lease,Left
65097,88601,Trump: GOP Is Taking Democrats Out ’Of A Big Jam’ With O’Care Repeal,Right
65506,89608,DNC Chair Race Remains Tight As Energized Democrats Combat Trump,Left
65537,89692,Can The Democrats Get Organized? An Interview With Marshall Ganz,Left
65557,89728,Democrats Elect Tom Perez As National Party Chairman,Neutral
65560,89740,Can the Democrats mount an enduring Challenge to Trump and the GOP?,Left
65618,89918,Karl Rove: Democratic Responses To Trump’s Speech ’Affected His Delivery’,Left
65678,90079,Democrats Strive To Channel Anti-Trump Fervor Into A Win In Ruby-Red Georgia,Right
65976,90784,Democrats Need to Reclaim the Issue of Manufacturing from Donald Trump,Right
65984,90800,Trump: TrumpCare Failed Because Of Democrats!,Left
66029,90941,"Spicer Implies Trump Open To Working With Democrats On Taxes, Infrastructure",Right
66068,91042,Two Senate Democrats Announce They Will Vote Yes On Gorsuch For SCOTUS,Left
66132,91234,"Senate Democrats Now Have The Votes To Filibuster Gorsuch, And Provoke GOP ‘Nuclear Option’",Left
66221,91430,"In Georgia Race, Republicans Battle As Democrat Chases Upset",Right
66410,91937,Can The Democrats Get Organized? An Interview With Marshall Ganz,Right
66411,91938,Avishai: It’s Not Too Early For The Next Democratic Ticket,Left
66460,92066,Sessions: Democrats Will ’Pass Anything As Long As It Doesn’t Work’,Right
66555,92286,Florida GOP Rep. In Democratic District Announces She Won’t Run For Re-Election,Neutral
66763,92693,Democrats Grind Senate’s Work To A Halt Over Comey Firing,Left
67136,93528,Democrats Worry GOP Is Trying To Bury Torture Report,Left
67253,93765,Grassley Blasts DOJ Opinion That Trump Can Ignore Democrats’ Info Requests,Left
67404,94052,"Handel Defeats Ossoff In Georgia House Race, Dealing Blow To Democrats",Right
67453,94146,Trump Relitigates Democratic Primary (Again) More Than A Year After It Ended,Left
67527,94353,Democrats Are Smiling,Left
67772,94954,Some First Thoughts on the Democratic Debate,Left
67784,94969,AP: Fact-Checking The South Carolina Democratic Debate,Neutral
67862,95187,22 Senate Democrats Ask Obama To End Wave Of Deportation Raids,Left
67917,95347,Democratic Senator Blocks Obama’s Pick To Head FDA,Right
68000,95526,CNN To Hold Town Hall For Democratic Presidential Candidates,Left
68032,95571,Cruz Calls On Democrats To Support His Campaign In Iowa Victory Speech,Right
68047,95601,Why This New Hampshire Democrat Is Throwing His Hat In The Ring For Sanders,Left
68049,95603,Iowa Democratic Party Will Not Conduct Caucus Recount,Neutral
68105,95712,AP: Fact-Checking MSNBC’s New Hampshire Democratic Debate,Neutral
68227,95967,Jay Carney Says Obama Wants Clinton To Win The Democratic Nomination,Left
68369,96290,AFL-CIO Delays Making Endorsement In Democratic Presidential Primary,Left
68937,97418,Clinton Wins Northern Mariana Islands’ Democratic Caucus,Left
68975,97523,"In Ohio, Hillary Clinton Projected To Win In the Democratic Primary",Left
69001,97550,Projection: Hillary Clinton Wins Democratic Primary In Florida,Left
69041,97632,Sanders Concedes Missouri Democratic Primary,Left
69106,97843,Clinton Projected To Win Democratic Primary In Arizona,Left
69150,97929,Bill Moyers: It’s Time For These Two Democrats To Go,Right
69261,98236,Sanders: ’We’ll See’ If I Will Fundraise For Down-Ballot Democrats (VIDEO),Left
69283,98285,Winship: Superdelegates Represent What’s Wrong With Democratic Party,Right
69328,98425,Sanders Projected To Win The Wisconsin Democratic Primary,Neutral
69356,98487,Poll: Sanders Opens A Small National Lead As Democratic Divisions Harden,Right
69385,98538,The Top Of The GOP Ticket Is Helping Senate Democrats Already,Left
69505,98839,Everything You Need To Know About CNN’s Brooklyn Democratic Debate,Left
69509,98843,Sanders Disavows Surrogate’s ’Corporate Democratic Whores’ Remark (VIDEO),Left
69582,99032,Hillary Clinton Projected Winner Of New York Democratic Primary,Left
69602,99058,Networks: Democratic New York Primary Too Early To Call,Neutral
69721,99345,Clinton Keeps On Cruising: Wins 4 Out Of 5 Democratic Primaries,Left
69723,99347,Van Hollen Gets By Edwards In Maryland Democratic Senate Primary,Left
69726,99350,Bernie Sanders Expected To Win The Democratic Primary In Rhode Island,Left
69732,99356,Hillary Clinton Projected To Win The Democratic Primary In Connecticut,Left
69831,99561,Bernie Sanders Wins Indiana’s Democratic Primary,Left
69995,99943, Democrats Grilled The FBI Director On Clinton And Weiner Investigations,Left
70075,100027, Democrats Shut Down The Senate’s Work This Afternoon To Protest Comey’s Firing,Neutral
70076,100028," Republicans And Democrats Are Blasting The ""Dumb On Crime"" Sessions Order For Tougher Sentencing",Neutral
70227,100215, Black Democrats Are Starting Their Own Groups To Work Outside Of The DNC,Left
70272,100275, Democrats Hope This 30-Year-Old Can Win A Republican House Seat In Georgia,Left
70288,100300," Republican, Democratic Senators Demand Inquiry Into Russian Election Interference",Neutral
70486,100641, The Republican-Democrat Divide Extends To Hats And Prepaid Cellphones,Neutral
70515,100683, Rising Democratic Star Says He Won’t Run Against Ted Cruz Next Year,Left
70596,100838, Democrats In Congress Are Pleading With Trump To Count LGBT Population In The Census,Left
70673,100985, National Democrats Are Trying To Figure Out How To Run Local Races In The #Resistance Age,Left
70715,101066," Democratic Lawmaker Says Donald Trump Has Committed An ""Impeachable Act""",Left
70773,101178," Democrats Think Trump’s New National Security Adviser Will Bring ""Sanity"" To The White House",Left
70899,101455, Democrats Will Reintroduce A Major LGBT Bill As A Wedge Issue In Congress,Left
70912,101481, Democrats Say They Won’t Help Republicans Craft Obamacare Replacement,Left
70933,101529, Democratic Congressman Apologizes For Crude Kellyanne Conway Joke Four Days After The Fact,Right
70959,101585, Key Democrats Haven’t Made Up Their Minds As They Prepare To Grill Supreme Court Nominee,Right
70965,101593, Democrats Consider Whether To Take A Page From The Tea Party’s Playbook,Left
71066,101838, Meet The New York City Democrat Flacking For Ivanka Trump,Right
71073,101867, Some Black Democrats Want A Lot More From Tom Perez,Left
71082,101893, A House Democrat Told These Government Agencies That Their Emails With Her Won’t Be Kept Secret,Right
71157,102039, Washington Democrats Are Beginning To Talk About Impeaching Trump,Left
71159,102052, Democrats In Congress Are Pleading With Trump To Count LGBT Population In The Census,Left
71172,102091, Democrats Are Taking Another Shot At Protecting LGBT Kids From So-Called Cures,Left
71193,102136, 11 Democratic Senators Are Backing A Bill To Bring Back Internet Privacy Rules,Left
71202,102163, Senate Democrats Want An Ethics Watchdog To Investigate Donald Trump’s Pick For HHS,Left
71224,102220, Democratic War Room Expands With Plans To Scrutinize Hundreds And Hundreds Of Trump Appointees,Left
71334,102489, A Top Democrat Said There Is Evidence Linking Trump’s Team To Russia,Left
71452,102823," Democrats Fall Short In Georgia, Jon Ossoff Heads To A Runoff Race In June",Left
71489,102914," Why Trump Will Have To Work With The Senate, Including Democrats, To Get His Judges Confirmed",Right
71544,103082," Why Trump Will Have To Work With The Senate, Including Democrats, To Get His Judges Confirmed",Left
71603,103217, Democrat-Aligned Super PAC Launches First National Ad Blitz Of 2016,Left
71803,103933, Here’s Everything You Need To Know About Sunday’s Democratic Debate,Left
71827,104003, Minimum Wage Workers Plan Strike In Charleston Ahead Of Democratic Debate,Right
71863,104101," MSNBC, Union Leader To Hold Unsanctioned Democratic Debate In New Hampshire",Right
71994,104443, 9 Immigration Questions That Sanders And Clinton Haven’t Been Asked In The Democratic Debate,Neutral
72177,105127," After Iowa, Fears Of Yet Another Caucus Disaster In Nevada Fill Democratic Chatter",Right
72600,106658, Senate Democrats Call For Vote On Obama’s Supreme Court Nominee By Memorial Day,Left
72673,106875, Democrats Make Last-Ditch Effort To Delay Anti-LGBT Bill In Mississippi,Right
72784,107310, Democratic Louisiana Governor Rescinds Republican Predecessor’s Anti-Gay Order,Left
72887,107729, Donna Edwards Blasts The Media And Democrats Criticizing Her As “Difficult”,Neutral
73249,108983, Transgender Woman Wins Utah Democratic Senate Primary,Neutral
73345,109173, The Quiet Existential Crisis Of Moderate Democrats In Philadelphia,Neutral
73376,109225, Harry Reid Tells Democrats To Not Get “Overconfident”,Right
73662,110349, House Majority Leader Says Democrats Will Be Punished For Gun Control Protest,Right
73663,110355, Why Does This Democratic Progressive Group Have Close Ties To A Pro-Trump PAC?,Left
73894,111248, Republicans Leave Town Without Punishing Democrats For Gun Control Sit-In,Right
73954,111386, Democratic Challenger Reports Big Fundraising Haul In Key North Carolina Race,Left
74202,112232, Democrats Don’t Have A Plan If Donald Trump Is Elected,Right
74257,112416, The Democrats’ Dilemma: Work With Trump Or Obstruct,Right
74389,112868," President Obama Offers Advice To Trump, Democrats",Left
74573,113554, Democrats Warn Against GOP Efforts To Fast-Track Trump Nominee In Spending Bill,Left
74583,113569, House Democrats Want An Investigation Into Russian Hacking During The Election,Right
74639,113763," Republican, Democratic Senators Demand Inquiry Into Russian Election Interference",Left
74689,113970," Democratic Group, Clinton Aides Team Up To Sink Trump Nominees",Left
74702,114024, North Carolina GOP Strips Governor’s Power Before Democrat Takes Office,Left
74740,114196, Over 100 Democratic Lawmakers Sent Trump A Letter Demanding Federal Funding For Abortions,Left
74868,114753,Democrats Won’t Fix Their Religion Problem Any Time Soon,Right
74903,114793,Sessions Is No Racist: Take Black Democrats’ Word for It,Right
74919,114809,GOP Shouldn’t Be Intimidated by Democrats’ Threats in Obamacare Fight,Left
74930,114820,The Delusional Democrats of 2017,Right
74967,114857,Democratic Obstructionism on Cabinet Nominees,Right
74980,114870,Democrats’ Impotent Attacks on Jeff Sessions,Right
75181,115126,The Democrats Retreat from Reality,Right
75208,115161,The Democrat Patient,Right
75210,115163,Sessions Confirmation Vote Tests Trump-State Democrats,Right
75226,115179,Democrats Can’t Win By Taking ‘Resistance’ Mainstream,Right
75230,115183,What Is the Democratic Party?,Left
75306,115271,When Will Democrats Learn Their Lesson?,Right
75341,115314,Democratic Rage Might Trump Keith Ellison’s Past,Right
75359,115355,Can the Democrats’ Tea-Party Plan Work?,Right
75368,115364,"In West Virginia, a Rising Republican Star Threatens the Nation’s Most Vulnerable Democratic Senator",Left
75437,115453,A Democrat’s Self-Dramatizing Departure Could Bring Real Reform to the FEC,Neutral
75445,115461,Democrats Threaten to Eat Their Own,Right
75481,115506,Democrats Test Their Anti-Trump Message in a Special Election in Delaware,Neutral
75531,115576,"In February, Democrats Wrap Up Black Amnesia Month",Right
75558,115603,The Dangerous Implications of Democrats’ Obsession with Trump’s Yemen Raid,Right
75569,115614,The Mike Pence E-mail ‘Scandal’ Exposes Only Democrats’ Amnesia about Hillary,Right
75583,115630,Democrats’ Bad-Faith Attacks on Neil Gorsuch and ‘Money in Politics’,Right
75592,115655,"While You Weren’t Looking, the Democrat–Media Election-Hacking Narrative Just Collapsed",Right
75596,115659,Millennials Can’t Save the Democratic Party,Right
75637,115700,The Democrats’ Clinton Problem,Right
75652,115722,Chelsea Clinton Is Not the Great Democratic Hope,Left
75669,115743,The Beginning of Democratic Nationalism — or the End of Europe,Left
75737,115828,Democrats Shouldn’t Dismiss Nunes’s Spying Claims So Quickly,Left
75788,115879,The Democrats v. Gorsuch,Neutral
75803,115894,Democratic Vendetta,Right
75813,115904,Democrats Know the Election Was Legitimate but Persist in a Dangerous Fraud,Right
75817,115908,The Yasser Arafat of the Democratic Party,Left
75831,115922,Democrats’ Filibuster Foolhardiness,Right
75922,116042,The Democrats’ Weakest Trump Talking Point,Right
75924,116044, Tom Daschle: Democrats Bear Most of the Blame for the Filibuster Mayhem,Right
75959,116090,Democrats Aren’t the Party of Science,Right
76012,116149,Democrats Try for an Upset in Georgia Sixth,Right
76114,116273,Will 2020 Be Another 1972 for Democrats?,Right
76140,116299,The Democrats’ First 100 Days,Right
76256,116450,"Courts, Colbert Enabling Trump’s Violations of Democratic Norms",Left
76265,116459,Democratic Hypocrisy and Hysteria Don’t Make Trump Right,Left
76291,116486,Virginia Democrats Rush to the Left,Left
76300,116505,Why Are Democrats Afraid of the Election Integrity Commission?,Right
76321,116526,Democratic Road Rage,Right
76371,116583,"Democrats Should Put Country above Party, Too",Right
76421,116645,Democrats’ Incessant Trump Bashing Will Pay Electoral Dividends,Right
76589,116842,The Democrats’ Blind Spot on Terrorism,Right
76598,116854,Don’t Fall for the Class-Warfare Rhetoric of Wealthy Democratic Politicians,Right
76673,116953,The Democrats’ Leftward March,Right
76694,116978,Democrats Move the Russia Goalposts,Left
76773,117072,If a Trump Supporter Had Shot Democratic Congressmen …,Right
76800,117107,The Democrats’ Resistance Temptation,Right
76806,117113,Finding the Way Back on Immigration Isn’t Going to Be Easy for Democrats,Right
76815,117122,A Democratic Blind Spot on Culture,Right
76823,117130,Obamacare Failure Is on the Democrats,Right
76836,117143,"After Another Special-Election Loss, Chances for a Democratic Comeback Look Grim",Right
76846,117153,"Nancy Pelosi, the Face of the Sinking Democratic Brand",Right
76909,117218,Obama Reshapes Presidential Politics — But Maybe Not to Democrats’ Benefit,Neutral
77163,117527,"The Republicans May Be in Trouble, but Have You Seen the Democrats?",Right
77323,117708,Democrats’ Latest Wage-Gap Fix Won’t Work Either,Right
77352,117746,Democrats Might Rue Their Attempt to Coronate Hillary,Right
77378,117781,Iowa’s Transparently Dishonest Democratic Caucus,Right
77401,117811,Clinton Ignores Democrat’s E-mail Question in N.H.,Left
77415,117833,How New Hampshire’s Democratic Establishment Chose Clinton over Its Constituents,Left
77423,117841,"Marco Rubio: Republican Dream, Democratic Nightmare",Right
77467,117894, Our Democratic Friends Seem to Be Having a Bit of Trouble with This ‘Democracy’ Thing,Left
77499,117929,The Democrats’ Likely Nominee Appears to Be a Felon — This Is Not Business as Usual,Right
77512,117951,"Donald Trump Is No Revolutionary, He’s Just a Democrat",Right
77559,118005,Fellow Millennials: Don’t Be Deceived by Democratic Socialism,Right
77763,118249,Why Democrats Aren’t Democratic (and Republicans Shouldn’t Be),Right
77818,118315,"Trump Has Funded Empire State Democrats, Crooks",Right
77829,118326,Dear Reagan Democrats: Donald Trump Will Use You and Leave You,Left
77833,118330,The Democrats’ Archie Bunker,Left
77856,118359,Democrats Propose Lawlessness and Call It Immigration Policy,Right
77958,118485,GOP Oppo Group Tries New Tactic: Crowd-sourcing Dirt on Democrats,Left
77965,118495,Garland Nomination the Latest Move in Democrats’ Game of Thrones,Right
78109,118664,Democrats Like Corporate Free Speech Well Enough When They Agree with It,Right
78164,118727,Democrats Underestimate Cruz at Their Own Risk,Right
78166,118729,Hillary’s Democratic Party Is What an Actual ‘Establishment’ Looks Like,Left
78364,118952,How Democrats Win Debates by Corrupting English,Right
78369,118958,When Republicans Shill for Democrats on Social Issues,Left
78392,118985,"In Virginia, Terry McAuliffe Breaks the Constitution to Plump the Democratic Vote",Right
78454,119051,Republicans Should Have Adopted Democrats’ Rules — and Vice Versa,Neutral
78490,119102,Democrats See Danger in Trump’s Developing Anti-Clinton Strategy,Right
78669,119306,The Democratic Party Civil War,Neutral
78724,119367,"Surprise: Louisiana’s Democratic Governor Goes After School Vouchers, Despite His Campaign Promise",Right
78747,119392,"If Clinton Implodes, Democrats May Turn to Biden and Warren",Left
78788,119435,Democrats’ Dumping of Torricelli Could Be Blueprint for What Happens to Hillary,Right
78802,119450,"On Social Security, Bernie Sanders Is Now the Leader of the Democratic Party",Left
78851,119522,Democratic Unity Falters as Sanders Vows to Soldier On,Right
78855,119526,Can the Democrats Unify?,Left
78969,119663,Democratic Congresswoman Suggests Trump May Be a Clinton Plant,Left
78990,119690,The Democratic Party’s Civil War,Right
79038,119748,Democrats Abandon Due Process,Left
79040,119750,Congressional Democrats’ Sit-In: What a Pompous Exercise in Virtue-Signaling,Right
79043,119754,Democrats’ Epic Hypocrisy on Guns and Terror,Right
79074,119791,Democrats: We Will Overcome the Constitution,Right
79076,119793,Trump’s Struggles Ease Democratic Worries,Left
79147,119874,Trump Will Not Protect You from the Democrats on Gay Rights,Left
79171,119908,The Democrats’ ‘Emergency’ Assault on the Second Amendment,Right
79223,119962,The Democrats’ Self-Serving Distractions,Right
79234,119977,Senate Democrats Seek to Criminalize First Amendment–Protected Speech,Right
79309,120055,<i>Hillary’s America</i> — A Two-by-Four Bashing Democrats,Right
79349,120095,Trump’s Speech Makes It Official: It’s Democrat v. Democrat in 2016,Left
79361,120116,How Hillary Lost the Democrats’ Traditional Base,Right
79378,120133,The Nordic Democratic-Socialist Myth,Right
79382,120137,Democrats’ Disunion,Right
79389,120151,The Lawless Anti-White Identity Politics of the Democratic Party Is on Full Display in Philly,Right
79396,120158,Democrats’ Hysterical Rhetoric Could Help Make Donald Trump President,Right
79398,120160,Democrats Euphemize Abortion as Convention Opens,Right
79413,120178,The Democratic Convention: Mission Partly Accomplished,Left
79418,120183,Democrats Should Stop Pretending Trump’s Misogyny Represents the Conservative Movement,Right
79421,120186,Louisiana’s Democratic Governor Robs Kids of School Choice,Right
79469,120239,Democrats Sacrifice Zika-Virus Research for Planned Parenthood,Right
79490,120260,Why Demographics <I>Don’t</I> Favor the Democrats,Right
79507,120280,Republicans Race Democrats to Dig the Deeper Grave,Right
79508,120281,"Democrats Dismiss Voter-Fraud Worries, but Reality Intrudes",Right
79561,120336,Can a 28-Year-Old Outsider Break Democrats’ Dominance of California’s Central Coast?,Right
79595,120384,Connecticut Democrats’ War on Free Speech,Left
79663,120474,Democrats Are Right to Worry About an October Surprise,Right
79673,120484,"Indian Americans, Don’t Let the Democratic Party Take Your Support for Granted",Right
79759,120591,Why the <i>Democrats</i> Are Fighting the Biggest Carbon Tax in American History,Left
79848,120701,California Democrats Suddenly Think Mandatory Minimums Are a Good Idea,Right
79886,120749,The Democrats’ ‘But Sipowicz Does It’ Defense of Hillary Clinton,Left
79895,120758,Trump Is Right: Democrats Have Failed African Americans,Right
79994,120884,The Democrats’ War on Civic Participation,Left
80015,120920,"Democrats Have Set Themselves Up for Failure at the Debate, and They’re Panicking",Right
80027,120932,What Would Democrats Do If They Had to Cope with a President Trump?,Left
80033,120938,Do Democrats Want Trump to Win?,Neutral
80035,120940,Will Democratic Success Breed Clinton’s Failure?,Right
80062,120968,What Happens to the Democratic Party if Clinton Loses?,Right
80276,121227,Hollywood’s Pro-Democrat Hagiography Hits a New Low,Right
80289,121243,Teachers’ Unions Push Democrats to Oppose Charter Schools,Neutral
80455,121460,The Democratic Establishment Has Enabled Hillary’s Corruption at Every Turn,Right
80494,121505,Will There Be Consequences for a Democratic Law Firm Caught Funneling Campaign Funds?,Neutral
